Name of Program,Duration,Fee per Semester
"Master of Business Administration (Tourism, Hospitality and Aviation) (ITP)",2 Years,110900/- INR
Master of Commerce (In association with Association of Chartered Certified Accountants),2 Years,70900/- INR
Master of Computer Applications,2 Years,75900/- INR
Master of Computer Applications - Artificial Intelligence & Machine Learning,2 Years,80400/- INR
Master of Computer Applications - Cloud Computing and DevOps,2 Years,80400/- INR
Master of Computer Applications - Cloud Computing and DevOps (ITP),2 Years,80400/- INR
Master of Computer Applications - ITP (Study in USA),2 Years,75900/- INR
Master of Law (LLM),1 Years,69000/- INR
Master of Optometry,2 Years,45900/- INR
Master of Physical Education and Sports,2 Years,30900/- INR
Master of Physiotherapy,2 Years,60400/- INR
Master of Science (Animation & Multimedia Technology),2 Years,49400/- INR
Master of Science (Medical Lab Technology) (Clinical Biochemistry),2 Years,50900/- INR
Master of Science (Medical Lab Technology) (Clinical Microbiology),2 Years,54900/- INR
Master of Science (Microbiology),2 Years,60400/- INR
Master of Science - Physics (ITP),2 Years,40400/- INR
Master of Science -Data Science (ITP),2 Years,53400/- INR
Master of Science- (Biotechnology),2 Years,68400/- INR
MBA - (Banking and Financial Engineering) in association with SBI and Tally,2 Years,155900/- INR
MBA - (Business Analytics) in association with IBM,2 Years,155900/- INR
MBA - (Business Analytics) in association with IBM (ITP),2 Years,155900/- INR
MBA - (Data Science and Artificial Intelligence),2 Years,155900/- INR
MBA - (Digital Marketing),2 Years,145900/- INR
MBA - (FinTech),2 Years,170400/- INR
MBA - (Healthcare and Life Sciences),2 Years,155000/- INR
MBA - (Master Of Business Administration),2 Years,139900/- INR
MBA - (Strategic HR)- ITP (Study in USA),2 Years,155900/- INR
MBA - (Strategic-HR),2 Years,155900/- INR
MBA - (Tourism & Hospitality Management),2 Years,110000/- INR
MBA - ITP (Study in USA),2 Years,139900/- INR
MBA - Logistics and Supply Chain Management,2 Years,145900/- INR
ME - (CSE) with specialization in Cloud Computing (in collaboration with Virtusa),2 Years,57400/- INR
ME - (Electrical Engineering),2 Years,57400/- INR
ME - (Electronics and Communication Engineering),2 Years,57400/- INR
ME - (Mechanical Engineering),2 Years,57400/- INR
ME - (Mechanical Engineering) – ITP (Study in USA),2 Years,57400/- INR
ME - Artificial Intelligence,2 Years,57400/- INR
ME - Automobile Engineering,2 Years,57400/- INR
ME - Civil Engineering (Construction Technology and Management) - (ITP),2 Years,57400/- INR
ME - Civil Engineering (Geotechnical),2 Years,57400/- INR
ME - Civil Engineering (Structural Engineering),2 Years,57400/- INR
ME - Civil Engineering (Transportation Engineering),2 Years,57400/- INR
ME - Civil Engineering + Doctor of Philosophy,5 Years,56500/- INR
ME - Civil Engineering - (Construction Technology & Management (CTM),2 Years,57400/- INR
ME - Computer Science & Engineering (ITP),2 Years,57400/- INR
ME - Computer Science & Engineering + Doctor of Philosophy,5 Years,56500/- INR
ME - Computer Science and Engineering,2 Years,57400/- INR
ME - CSE (Artificial Intelligence & Machine Learning),2 Years,62900/- INR
ME - Electrical Engineering (Electric Vehicles),2 Years,57400/- INR
ME - Electrical Engineering (ITP),2 Years,57400/- INR
ME - Electrical Engineering + Doctor of Philosophy,5 Years,56500/- INR
ME - Electronics & Communication Engineering + Doctor of Philosophy,5 Years,56500/- INR
ME - Electronics and Communication Engineering (ITP),2 Years,57400/- INR
ME - Environment Engineering,2 Years,57400/- INR
ME - Mechanical Engineering + Doctor of Philosophy,5 Years,56500/- INR
ME - Robotics & Automation,2 Years,57400/- INR
ME – Automobile Engineering (ITP),2 Years,57400/- INR
